title:あいしあう【愛合】	type:［新項目］	date:2012年10月03日	citation:そして二人の魂は、不識（しらず）に温和に愛し合ふ	book:中原中也詩集/単行本/1981年/中原中也/（青空文庫）/	explanation:〔他ワ五〕互いに愛する。	comment:コメント：もう一つの語釈のために。	reply:第２版では、立項されませんでした。
title:つきすてる【突捨】	type:［新項目］	date:2013年02月14日	citation:同歩 5六歩 同歩 7六歩と、ポンポン歩を突き捨てて攻めた手の評判が悪かった。	book:千駄ヶ谷市場/単行本/2011年/先崎 学/18/毎日コミュニケーションズ	explanation:〔他タ下一〕将棋で、相手に取らせるために歩をひとつ前に進める。	comment:コメント：将棋でよく使う言葉です。	reply:第２版では、立項されませんでした。
title:つくりたす【作足】	type:［新項目］	date:2013年02月14日	citation:残った汁を冷凍しておいて、次に作るときに足してもよいし、作り足してもよいでしょう。	book:知って得するお尻の話/単行本/2006年/三戒堂 水宝/159/文芸社	explanation:〔他サ五〕作って追加する。	comment:コメント：料理でよく使います。	reply:第２版では、立項されませんでした。
title:つけおく【漬置】	type:［新項目］	date:2013年02月14日	citation:よくもんだ靴下を1の洗剤液に入れ、1時間くらいつけ置く。	book:生活雑貨を修理する本/単行本/2006年/地球丸/56/地球丸	explanation:〔他カ五〕水などにひたして置いておく。	comment:コメント：「つけおき」からの逆成だと思います。「つけおき」もないようですが、とりあえずこちらだけ。	reply:第２版では、立項されませんでした。
title:つけこす【付越】	type:［新項目］	date:2013年02月14日	citation:黒1と、むやみにアタリを決めずにツケコすのが手筋です。	book:シノギの急所: 殺されないための5つのポイント/単行本/2012年/王 立誠/27/マイナビ	explanation:〔他サ五〕囲碁で、桂馬の位置にある相手の石の間に付け、分断を図る。	comment:コメント：囲碁用語ですが、「こすむ」があるので。	reply:第２版では、立項されませんでした。
title:つげしらせる【告知】	type:［新項目］	date:2013年02月14日	citation:其奴が今此世に生れ出た事を或る星が告げ知らせるといふのだ。	book:獨逸文學十二講/単行本/1926年/三井 光弥/313/新潮社	explanation:〔他サ下一〕告げて知らせる。	comment:コメント：キリスト教の文脈で使われることが多いようです。	reply:第２版では、立項されませんでした。
title:つたいあるく【伝歩】	type:［新項目］	date:2013年02月14日	citation:これを絶壁から絶壁にかけて伝い歩くわけです。	book:張良: 劉邦を支えた名軍師/単行本/2000年/葉治 英哉/276/PHP研究所	explanation:〔自カ五〕つたって歩く。	comment:コメント：そのままの意味ですが。	reply:第２版では、立項されませんでした。
title:つたいおちる【伝落】	type:［新項目］	date:2013年02月14日	citation:亜紀も涙が頬を伝い落ちるのを止められなかった。	book:沈黙のアイドル/単行本/2011年/赤川 次郎/311/角川書店	explanation:〔自タ上一〕水滴などが、表面をつたって落ちる。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:つたいおりる【伝降・伝下】	type:［新項目］	date:2013年02月14日	citation:真中（まんなか）の棒を伝い降りる時、私は軽く額を鉄棒に打ち付けた。	book:こけつまろびつ: 病む心と運命に弄ばれて/単行本/2000年/桂とう子/7/文芸社	explanation:〔自ラ上一〕棒や狭い道などをつたって降りていく。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:つたいながれる【伝流】	type:［新項目］	date:2013年02月14日	citation:婦人の息が首筋にかかり腋から緊張の汗が伝い流れるのを感じる。	book:軽い男/単行本/2007年/大和 川人/218/文芸社	explanation:〔自ラ下一〕つたって流れる。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:つたえあるく【伝歩】	type:［新項目］	date:2013年02月14日	citation:世界中にユダヤ共同体を伝え歩く旅の途中で足を踏み入れたようだ。	book:第3次世界大戦: 最強アメリカvs不死鳥ロシア/単行本/2005年/ジョン コールマン (著), 太田 龍 (翻訳) /154/成甲書房	explanation:〔他カ五〕歩いて伝えて回る。	comment:コメント：とりあえず。	reply:第２版では、用例を添えることができませんでした。
title:つたえきこえる【伝聞】	type:［新項目］	date:2013年02月14日	citation:高齢化が進んだときの社会福祉はどうなるのか、国力は維持できるのか、といった危惧の声がしばしば伝え聞こえてくるなかで、	book:中日、恩讐の朋友: 中国遼寧省の旅/単行本/2002年/手塚 信夫/103/文芸社	explanation:〔自ア下一〕人づてで自然と聞き知る。	comment:コメント：「伝え聞く」の自動詞化したものと思われます。	reply:第２版では、立項されませんでした。
title:つたえつぐ【伝継】	type:［新項目］	date:2013年02月14日	citation:同じ境遇にある、世界各地の紛争地の人たちの顔が浮かび、この「友情バス」の出発を、世界じゅうの人たちに伝え継いでいこうと思ったことを覚えている。	book:世界で1000年生きている言葉/単行本/2012年/田中 章義/47/PHP研究所	explanation:〔他ガ五〕子孫代々伝えていく。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:つたえひろげる【伝広】	type:［新項目］	date:2013年02月15日	citation:国立国会図書館は、誤った認識を伝え広げることに加担するどころか、誤解の流布の張本人になってしまうのです。	book:ず・ぼん 11: 図書館のコスト・船橋西図書館事件/単行本/2005年/ず・ぼん編集委員会（編）/88/ポット出版	explanation:〔他ガ下一〕伝えて広げる。	comment:コメント：そのままの意味ですが。	reply:第２版では、立項されませんでした。
title:つたえひろめる【伝広】	type:［新項目］	date:2013年02月15日	citation:後には種々の理由を付け加へて土俵と故實など云ふことが此の間に傳へ廣められたのである。	book:江戸時代之角力―一名日本角力史/単行本/1928年/三木 愛花/104/近世日本文化史研究会	explanation:〔他マ下一〕伝えて広める。	comment:コメント：そのままの意味ですが。	reply:第２版では、立項されませんでした。
title:つつみあげる【包揚】	type:［新項目］	date:2013年02月15日	citation:石垣島産ウコンを使ったドライカレ−を、イカスミで黒く色づけしたカマボコで包み揚げている。	book:石垣宮古離島の旅本/単行本/2007年/不明/29/エイ出版社	explanation:〔他ガ下一〕材料を皮のようなもので包んで油で揚げる。	comment:コメント：「包み揚げ」からだと思いますが、とりあえず動詞だけ。	reply:第２版では、立項されませんでした。
title:つつみやく【包焼】	type:［新項目］	date:2013年02月15日	citation:ブドウの葉で包み焼いたものを蒸り高いパイ皮にのせて。	book:味ことばの世界/単行本/2005年/瀬戸 賢一, 楠見 孝, 辻本 智子, 山本 隆, 沢井 繁男/208/海鳴社	explanation:〔他カ五〕材料を草木の葉・濡れた紙・アルミホイルなどで包んで焼く。	comment:コメント：「包み焼き」の(1)からだと思います。	reply:第２版では、立項されませんでした。
title:つまみいれる【撮入・摘入・抓入】	type:［新項目］	date:2013年02月15日	citation:おていも額に汗しながら、真剣な顔つきで煮物を小鍋につまみ入れてゆく。	book:神隠し: 子預かり屋こはる事件帖/単行本/2010年/翔田 寛/79/PHP研究所	explanation:〔他ラ下一〕つまんで入れる。	comment:コメント：そのままの意味ですが。	reply:第２版では、立項されませんでした。
title:つまみよみ【摘読】	type:［新項目］	date:2013年02月15日	citation:従って、興味のあるところや知りたいところだけをつまみ読みするような読み方はあまり向かないでしよう。	book:苦しんで覚えるC言語/単行本/2011年/MMGames/4/秀和システム	explanation:〔名〕読みたいところだけをざっと読む。	comment:コメント：「つまみぐい」からの類推だと思われます。もっと以前からあるはずですが、とりあえず。「つまみ読む」は見つかりませんでしたが、実態としては使われていて、ネットにはあります。	reply:第２版では、立項されませんでした。
title:つみおろす【積下】	type:［新項目］	date:2013年02月15日	citation:常識で考えても、東西冷戦中は米海軍の空母や駆逐艦、巡洋艦などが核兵器を装備していたことは明白だから、それらの艦艇が日本の領海に入るときだけ太平洋上のどこかで核兵器をひそかに積み下ろしてくるという想定は、サイエンス・フィクションでさえありえなかった。	book:アメリカが日本を捨てるとき/単行本/2010年/古森 義久/112/PHP研究所	explanation:〔他サ五〕積んであるものをおろす。	comment:コメント：積み卸す（「貨物などを積み、またそれをおろす。積みおろしをする。」）とは違う使い方のようです。	reply:第２版では、立項されませんでした。
title:つむぎあわせる【紡合】	type:［新項目］	date:2013年02月15日	citation:古い毛糸を紡ぎ合わせて編み直したようなベストを羽織り	book:十九のままで/単行本/2002年/谷口 千代美/125/文芸社	explanation:〔他サ下一〕縒って合わせる。	comment:コメント：「つむぐ」＋「あわせる」から少し離れているように見えます。	reply:第２版では、立項されませんでした。
title:つむぎあわせる【紡合】	type:［新項目］	date:2013年02月15日	citation:その練習で得た感覚と感覚を紡ぎ合わせて調節し調合し、女声を見つけ出しましょう。	book:女の子の声で歌おう!/単行本/2012年/下川 孝幸/46/秀和システム	explanation:〔他サ下一〕異なるものをひとつにまとめる。	comment:コメント：比喩的な意味のようです。	reply:第２版では、立項されませんでした。
title:つめあがる【詰上】	type:［新項目］	date:2013年02月15日	citation:ピークへと詰め上がる最後の急斜面で、僕は完全にバテてしまって「もう歩けない！」と駄々をこねるのだが、	book:目がさめたら沢の音/単行本/2008年/つり人社書籍編集部（編）/184/つり人社	explanation:〔自ラ五〕あと一息というところまで距離を縮めて上がる。	comment:コメント：いろいろと見たのですが、どうもニュアンスがわかりません。「登る」でいいのでしょうか。登山をする人であればわかるのかもしれません。	reply:第２版では、立項されませんでした。
title:つめあがる【詰上】	type:［新項目］	date:2013年02月15日	citation:最後は馬と金の二枚だけで詰め上がる。	book:升田幸三: 名人に香車を引いた男/単行本/1997年/升田 幸三/45/日本図書センター	explanation:〔自ラ五〕将棋で、うまく駒を動かすことで、相手が詰みの状態になる。	comment:コメント：こちらは将棋用語です。	reply:第２版では、立項されませんでした。
title:つもぎり【自摸切】	type:［新項目］	date:2013年02月15日	citation:そんな場合でも常に相手の聴牌時期を読めるように手切りかツモ切りかを見分けていくことは非常に重要だ。	book:麻雀の魅力: 知っていますかフリー麻雀/単行本/2001年/最新麻雀研究会「新撰組」/107-108/文芸社	explanation:〔名〕マージャンで、ツーモー（自摸）をしたパイをそのまま切ること。	comment:コメント：「ツモ切る」を探していたのですが、とりあえずこちらを。用例中の「手切り」もマージャン用語ですが、「ツモ切り」ほどは使われません。	reply:第２版では、立項されませんでした。
title:きめる【決・極】	type:［語釈］	date:2013年02月15日	citation:えー、キメてすぐ寝ちゃう時あるの？ 勿体なくない？	book:アディクトの優劣感/単行本/2005年/池間 了至/55/文芸社	explanation:麻薬などを摂取する。	comment:コメント：「(4)飲食する」とつながっているのでしょうか。	reply:第２版では、この用法に触れていませんね。
title:アピる	type:［新項目］	date:2013年02月15日	citation:自分の気持ちをどんなにアピっても、モテ男には通じない！	book:くらたまの恋愛やり直し!!塾/単行本/2009年/倉田 真由美/82/主婦の友社	explanation:〔他ラ五〕（「アピール」の動詞化）自分に注意や感心を向けるようにする。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:きまる【決・極】	type:［語釈］	date:2013年02月15日	citation:ヤツを見た瞬間、オレの優越感がブッ飛んで、キマっている頭まで冷静になってしまった。	book:アディクトの優劣感/単行本/2005年/池間 了至/44/文芸社	explanation:〔自ラ五〕麻薬などの影響を受ける。	comment:コメント：「きめる」の自動詞です。	reply:第２版では、この意味に触れていませんね。
title:グロい	type:［新項目］	date:2013年02月15日	citation:群がるその様子はまさに力二団子といった状態で、ちょっとグロい。	book:深海3,000フィートの生物(ヴィーナス)たち/単行本/2011年/北村 雄一 (著), 深海生物フューチャー・ラボ (編) /24/PHP研究所	explanation:〔形〕（「グロ」の形容詞化）グロテスクである。	comment:コメント：よく使います。	reply:第２版では、用例を添えることができませんでした。
title:けばい	type:［新項目］	date:2013年02月15日	citation:また、ほかの武将の兜や武具もおしなべてケバい。	book:ゲームキャラしか愛せない脳/単行本/2010年/正高 信男/120/PHP研究所	explanation:〔形口〕（俗語。「けばけばしい」の略）品がなくはでなさま。特に、化粧がどぎつくて、はでなさま。〔『デジタル大辞泉』@JapanKnowledgeより〕	comment:コメント：よく使います。	reply:第２版では、立項されませんでした。
title:コピる	type:［新項目］	date:2013年02月15日	citation:ライブラリにプレビューしたキャラクターの色見本や、同時に開いたAIファイルから、スポイトで色をコピってくることができるのです（図3-3-45）。	book:FLASHアニメーション制作バイブル/単行本/2007年/A.e.Suck/79/オーム社	explanation:〔他ラ五〕（「コピー」の動詞化）コピーを取る。複写する。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:すべる【滑】	type:［語釈］	date:2013年02月15日	citation:スベった芸人さんがいたら、「いやー、驚きました……。全然おもしろくなかったですね」と言うだけ。	book:心をつかむ!誰からも好かれる話し方: 魔法のコミュニケーション38/単行本/2012年/谷 厚志/71/学研パブリッシング	explanation:面白いことを言おうとして失敗する。	comment:コメント：近年よく聞く用法です。	reply:第２版では、この用法には触れていませんね。
title:つりあるく【釣歩】	type:［新項目］	date:2013年02月15日	citation:しかし、ポイントを釣り歩く探り釣りだとフナへのダメージが心配で、どちらかというと一カ所に陣取って釣るエンコ釣りに適している。	book:決定版フナ釣りタナゴ釣り入門/単行本/2012年/葛島 一美/22/つり人社	explanation:〔自カ五〕あちこち釣りをして回る。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:つりくだる【釣下】	type:［新項目］	date:2013年02月15日	citation:軽野神社から修善寺橋までを一週間もかけて下り、また上流に舟を戻して釣り下る。	book:日本一のアユ漁師と釣り人たちを育んだ狩野川/単行本/2007年/植田 正光/90/つり人社	explanation:〔自ラ五〕川上から川下に移動しながら釣りをする。	comment:コメント：釣りをする人が使うようです。	reply:第２版では、立項されませんでした。
title:つりあがる【釣上】	type:［新項目］	date:2013年02月15日	citation:そこで渓流釣りをするときには、下流から上流へ向かって探りながら釣り上がるのです。	book:多摩川釣り観察: さかなが教えてくれること/単行本/2009年/奥山 文弥/37/つり人社	explanation:〔自ラ五〕下流から上流へ移動しながら釣りをする。	comment:コメント：これも釣り用語のようです。	reply:第２版では、立項されませんでした。
title:つれまわす【連回】	type:［新項目］	date:2013年02月15日	citation:小学生の女の子を車で連れ回したりしたら	book:雲の上の青い空/単行本/2011年/青井 夏海/32/PHP研究所	explanation:〔他サ五〕あちこちに連れていく。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:つれまわる【連回】	type:［新項目］	date:2013年02月15日	citation:彼の亡き父君は渓流釣りが好きで、彼が子どもの頃から一緒に連れ回っては、これらのことを伝えたという。	book:こけ者旅日記: 所沢‐青森‐京都の歩き旅/単行本/2007年/齋藤 秀友/233/文芸社	explanation:〔他ラ五〕あちこちに連れていく。	comment:コメント：「つれまわす」とは少しニュアンスが違うようです。	reply:第２版では、立項されませんでした。
title:テロる	type:［新項目］	date:2013年02月15日	citation:彼女の命令にしたがって、今度は世界をテ、テ、テロるのです	book:虚構日記/単行本/2012年/森 晶麿/56/PHP研究所	explanation:〔他ラ五〕（「テロル」の動詞化）俗に、テロ行為をする。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:テンパる	type:［語釈］	date:2013年02月15日	citation:ただでさえ遊んだことがあまりない人たちだから、風俗店に行くということだけで冷静さを失い、暗い店舗の中でいよいよ頭がテンパっている。	book:風俗ゼミナールお客編/単行本/2001年/松沢 呉一/30/ポット出版	explanation:精神的な圧力を受けるなどして動揺する。	comment:コメント：この意味も、もう少し前からあるとは思いますが、とりあえず。	reply:第２版では、麻雀用語としての説明になっています。
title:ディスる	type:［新項目］	date:2013年02月15日	citation:われわれの業界でもたまにありますが、2ちゃんねるなどにスレッドが作られて、ディスられ放題を見てガックリ落ち込む、なんて話もたまに聞きます。	book:「テンパらない」技術/単行本/2012年/西多 昌規/134/PHP研究所	explanation:〔他ラ五〕(「ディスリスペクト」の動詞化)俗に、否定する。批判する。けなす。	comment:コメント：ネットをしない人には通じにくい言葉だと思うのですが、用例ではネットユーザーを想定読者としているのだと思われます。	reply:第２版では、立項されませんでした。ネット特有で「disる」と書かれることが多いですね。
title:ときいれる【溶入】	type:［新項目］	date:2013年02月15日	citation:だし入りのみそを溶き入れたら完成。	book:カラダの中からキレイになる「Dr.ナグモ式」健康法/単行本/2012年/南雲 吉則/111/PHP研究所	explanation:〔他ラ下一〕味噌や卵などを溶いて入れる。	comment:コメント：料理ではよく使います。とりあえず新しいものを。	reply:第２版では、立項されませんでした。
title:ときすすむ【解進】	type:［新項目］	date:2013年02月15日	citation:さらに解き進むと,妥当な解答は次のようになる.	book:ボルハルト・ショアー 現代有機化学問題の解き方/単行本/2005年/ボルハルト ショアー (著), 大嶌 幸一郎 (翻訳), 小松 満男 (翻訳), 小田嶋 和徳 (翻訳), 戸部 義人 (翻訳) /157/化学同人	explanation:〔他マ五〕問題などを、順を追って解いていく。	comment:コメント：「かきすすむ」「よみすすむ」などと似ています。	reply:第２版では、立項されませんでした。
title:ときすすめる【解進】	type:［新項目］	date:2013年02月15日	citation:過去問は、分野別に解き進める	book:「成川式」短答マーカー合格法/単行本/2010年/成川 豊彦/125/PHP研究所	explanation:〔他マ下一〕問題などを、順を追って解いていく。	comment:コメント：「ときすすむ」と同じです。	reply:第２版では、立項されませんでした。
title:ときのばす【溶延・溶伸】	type:［新項目］	date:2013年02月15日	citation:ボウルに卵黄、マスタード、塩、こしょうを入れ、酢大さじ2を加えて、泡立て器で溶きのばす。	book:男の料理ハンドブック/単行本/2000年/茂出木 雅章/129/PHP研究所	explanation:〔他サ五〕固体や濃い液体などに、薄い液体を加えて均一になるように混ぜる。	comment:コメント：この意味で正しいかどうかわからないですが。	reply:第２版では、立項されませんでした。
title:じごな【地粉】	type:［新項目］	date:2013年02月15日	citation:ボウルに地粉と水で出した干しシイタケのだし汁を入れ、溶き混ぜる	book:これおいしいっ!玄米・豆・ごまレシピ70/単行本/2003年/不明/24/エイ出版社	explanation:〔名〕地元で収穫された小麦の粉。	comment:コメント：「ときまぜる」の用例に出てきたので。	reply:第２版では、立項されませんでした。
title:くずしいれる【崩入】	type:［新項目］	date:2013年02月12日	citation:チョコレートを崩し入れ、その上から熱々のココアを注いで出来上がり。	book:〈ジェイくんの〉かんたん!感動!韓国料理: あさ・ひる・よるとおやつのレシピ61品。/単行本/2004年/金本 J.ノリツグ/93/エイ出版社	explanation:〔他ラ下一〕細かく砕いて入れる。	comment:コメント：料理でよく使われます。「崩す」と「入れる」の複合とは微妙に違ったニュアンスがあるようです（「チョコレートを崩す」とはあまり言わないのではないでしょうか）。	reply:第２版では、立項されませんでした。
title:とけおちる【溶落・融落】	type:［新項目］	date:2013年02月15日	citation:正面の窓四つ、硝子は全部熔け落ち、ただそこから無慙な校舎の焼跡を見渡すことができる。	book:岸田國士全集7/単行本/1992年/岸田國士/（青空文庫）/岩波書店	explanation:〔自タ上一〕とけて落ちる。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:とけくずれる【溶崩・融崩】	type:［新項目］	date:2013年02月15日	citation:先づこみ上げて來た悲みは涙の雨に溶け崩れて	book:ヰ゛ルヘルム・マイスタア/単行本/1920年/ゲーテ（著）、林 久男（訳）/535/岩波書店	explanation:〔自ラ下一〕とけて崩れる。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:とけさる【溶去】	type:［新項目］	date:2013年02月15日	citation:是等の礦物の分解するや硅酸アル力リは水に溶け去り不純なる硅酸アルミニウムを殘留す。	book:近世化学教科書/単行本/1897年/大幸 勇吉/187/富山房	explanation:〔自ラ五〕固体が、液体にとけて消える。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:とけでる【溶出】	type:［新項目］	date:2013年02月15日	citation:これらを煮ると、煮汁にコラ―ゲンが溶け出るので、煮汁ごと食べるか、煮こごりとして食べると効率よくとれます。	book:図解 栄養の基本がよくわかる事典/単行本/2006年/安田 和人/152/西東社	explanation:〔自ダ下一〕固体に含まれていたものが、液体にさらされて溶けて出てくる。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:とけのこる【溶残・融残】	type:［新項目］	date:2013年02月15日	citation:イタリアでは、エスプレッソに溶け残るくらいの砂糖を入れる飲み方も主流とされているのです。	book:別冊ライトニング35 コーヒースタイルブック/単行本/2007年/不明/29/エイ出版社	explanation:〔自ラ五〕とけきらずに残る。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:とっちらかる【取散】	type:［語釈］	date:2013年02月15日	citation:彼女は僕の心を擽るとっても瀟洒な笑い顔になり、とっちらかっている僕を救ってくれた。	book:ラッキーストライクとカーネーションをあなたへ/単行本/2007年/岡本 綱雄/184/文芸社	explanation:あせって言動や行動にまとまりがなくなる。	comment:コメント：関東方言のようです。「とりちらかる」とは意味がずれています。	reply:第２版では、この用法に触れていませんね。
title:とつる【凸】	type:［新項目］	date:2013年02月15日	citation:「裏サイト」を互いに紹介しながら「凸（とつ）る」（突撃する）風景もよく見られる。	book:ネットいじめ: ウェブ社会と終わりなき「キャラ戦争」/単行本/2008年/荻上 チキ/237/PHP研究所	explanation:〔他ラ五〕インターネットの書き込みや電話などの手段によって攻撃する。	comment:コメント：解説付きですが。	reply:第２版では、立項されませんでした。
title:とちぐるう【―狂】	type:［用例］	date:2013年02月15日	citation:お前さんが不二屋のお里とトチ狂っていることは両国でみんな知っているんだよ。	book:江戸情話集/単行本/1993年/岡本綺堂/（青空文庫）/光文社	explanation:〔自ワ五（自ハ四）〕（「とち」は接頭語。「どちぐるう」とも）たわいのないことをしてさわぐ。たわむれる。ざれあう。	comment:コメント：現在は「何をとち狂ったか」「何を急にとち狂って」などと使われることが多いようです。	reply:「とちくるう」でご投稿いただきましたが、第２版では、「とちぐるう」が見出し形となっています。近世から清濁両様あるようですが、最近は清音が多いのでしょうか。近現代の清音確例が欲しいですね。
title:とどけだす【届出】	type:［新項目］	date:2013年02月15日	citation:雇用保険の加入に際しては、労働保険の保険関係成立届を先に届け出していることが必要。	book:人事労務の実務事典 1 採用・退職・社内規定/単行本/2011年/畑中 義雄, 本領 晃, 小林 妙子, 瀧田 勝彦/173/秀和システム	explanation:〔他ダ五〕「とどけでる（届出）」に同じ。	comment:コメント：とりあえず。	reply:第２版では、この語形では立項されませんでした。どの程度使われるか、さらに用例を調べてみたいところです。
title:とりすすめる【執進・取進】	type:［新項目］	date:2013年02月15日	citation:トインビイ、ホールに關係して居る人達は、セツトルメント、ウオークとは何をするものであるかと云ふ明確な觀念を以て事を取り進めたのでなく、	book:輓近の社会事業/単行本/1924年/海野 幸徳/400/内外出版	explanation:〔他マ下一〕（「とり」は接頭語）ことをすすめる。進行させる。	comment:コメント：今でも使われます。	reply:第２版では、立項されませんでした。
title:とびおちる【飛落】	type:［新項目］	date:2013年02月15日	citation:手段としては、西洋にあつては、四階五階の窓から飛び落ちるが多く、	book:特殊児童の教育保護/単行本/1924年/樋口 長市/153/児童保護研究会	explanation:〔自タ上一〕身をおどらせて高いところからおりる。高所からとんでおりる。	comment:コメント：「とびおりる」の語釈を使いました。	reply:第２版では、立項されませんでした。
title:とりあるく【撮歩】	type:［新項目］	date:2013年02月15日	citation:気軽に好きなように写真を撮り歩きたいという意味を含んでいる。	book:ライカとモノクロの日々/単行本/2002年/内田 ユキオ/169/エイ出版社	explanation:〔他カ五〕写真をとりながら歩く。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:でんとつ【電凸】	type:［新項目］	date:2013年02月15日	citation:これらの誹謗中傷電話のこと、『電凸』と言うのですか、初めて知りました。その電凸とみられる電話は、午前中だけで28件もありました。	book:ソーシャルメディアマーケター美咲 2年目/単行本/2012 年/池田 紀行/35/翔泳社	explanation:〔名〕電話をかけることで相手を攻撃すること。	comment:コメント：インターネット用語ですが、その中では比較的広まっているものだと思います。	reply:第２版では、立項されませんでした。
title:とりはぶく【取省】	type:［新項目］	date:2013年02月15日	citation:なるべく余計な要素は取り省くことにした。	book:フェルメール物語/単行本/2007年/野中 均/158/文芸社	explanation:〔他カ五〕（「とり」は接頭語）はぶく。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:どうきづける【動機付】	type:［新項目］	date:2013年02月15日	citation:やむにやまれぬ生活衝動が、常にこの學問の進捗を動機づけてゐる。	book:国体倫理学/単行本/1929年/船口万寿/17/国体科学社	explanation:〔他カ下一〕動機づけをする。	comment:コメント：「動機づけ」に対応する動詞です。	reply:第２版では、立項されませんでした。
title:どつく【─突】	type:［新項目］	date:2013年02月15日	citation:体育教師はしょっちゅう生徒をどついていたし、	book:キムティ: 安土中学1年4組学級通信/単行本/1999年/木村 泰崇/121/文芸社	explanation:〔他カ五〕（「ど」は接頭語）人をたたく。殴る。	comment:コメント：元は関西弁ではないかと思いますが、今では関東でも通用する言い方だと思います。	reply:第２版では、立項されませんでした。
title:どつきたおす【―突倒】	type:［新項目］	date:2013年02月15日	citation:たはこといふと、どつき倒すぞ。	book:諢話浮世風呂 全; 柳髪新話浮世床 全; 東海道中膝栗毛 全;/単行本/1909年/式亭三馬, 十返舎一九/671/國民文庫刊行會	explanation:〔他サ五〕殴り倒す。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:どなりあげる【怒鳴上】	type:［新項目］	date:2013年02月15日	citation:根は親切な人であるが、怒鳴り上げる爲、評判の惡い人が往々あるが夫れと同樣である。	book:国防科学叢書32 将帥論/単行本/1943年/中井 良太郎/23/ダイヤモンド社	explanation:〔自ラ五〕大きな声でどなる。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:どなりとばす【怒鳴飛】	type:［新項目］	date:2013年02月15日	citation:番頭（ばんとう）を怒鳴（どな）り飛（と）ばした餘忿（よふん）猶（なほ）燃（も）ゆる眼眸（ひとみ）を窓（まど）の外（そと）に放（はな）つと、	book:死の蔭に/単行本/1917年/徳富 蘆花/499/大江書房	explanation:〔他サ五〕激しく声高にどなる。どなりつける。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:ひとばしら【人柱】	type:［語釈］	date:2013年02月15日	citation:それならば、誰もやらないような具を入れてみて、人柱になるような実験コンテンツがあってもいいのではないか。	book:Webデザインの「プロだから考えること」/単行本/2008年/鎌田 貴史, 中村 洋基, 水藤 祐之, 深澤 洋介, 遠崎 寿義, 佐野 勝彦, 勅使河原 一雅/72/インプレスジャパン	explanation:失敗があらかじめ予測されるような無謀なことを試み、後に教訓を残す人。	comment:コメント：最近、このような軽い意味での使い方をよく目にします。	reply:第２版では、この意味には触れていませんね。確かに、新製品が出たときに、すぐに飛びついて、いろいろな不具合に悩まされることを言うことがあります。
title:ながしおとす【流落】	type:［新項目］	date:2013年02月16日	citation:女は男のシャツを脱がせ上半身を裸にして、男の脇の下の血をいきおいよく冷たいシャワーの水で流し落とした。	book:プーの描いた世界/単行本/2000年/加藤 英昭/27/文芸社	explanation:〔他サ五〕水などをかけて、その流れで汚れなどを落とす。	comment:コメント：「あらいおとす」があるので。	reply:第２版では、立項されませんでした。
title:ながしさる【流去】	type:［新項目］	date:2013年02月16日	citation:只鴨川の水沙を流し去る音を聞くのみで	book:釈宗演全集 第三巻/単行本/1930年/釈宗演/414/平凡社	explanation:〔他ラ五〕流水が物を遠くに運び去る。また、水などをかけて汚れを取り去る。	comment:コメント：「はこびさる」などがあるので。	reply:第２版では、立項されませんでした。
title:はなしいそぐ【話急】	type:［新項目］	date:2013年02月16日	citation:話し急いでしまうと、余計に余裕がなくなってしまいます。	book:できる人の話し方のルール: 相手の心をグッとつかむ/単行本/2012年/PHPエディターズ・グループ/56/PHP研究所	explanation:〔他ガ五〕早く終えようとあせって話す。	comment:コメント：これも最近のもののようです。	reply:第２版では、立項されませんでした。
title:ながしすてる【流捨】	type:［新項目］	date:2013年02月16日	citation:蔬菜を茹で流して食することは、ヴィタミンを始め、多くの榮養素を流し捨てることになる。	book:生物体の機構/単行本/1943年/小泉 丹/113/中央公論社	explanation:〔他タ下一〕水などに流して捨てる。	comment:コメント：「島流しにして見捨てる」との意味で立項されていますが、文字通りの意味もあるので。	reply:第２版では、立項されませんでした。
